Tree name; Crown Height; Crown Diameter, Position X, Position Y, Leave Days
 Pinus nigra var. austriaca ; 19.000000 ; 10.000000 ; 2501524.710000 ; 1116045.310000 ; 365 
 Fagus sylvatica f. sylvatica 'Purpurea' ; 24.000000 ; 13.000000 ; 2501183.700000 ; 1116094.840000 ; 183 
 Cedrus atlantica 'Glauca' ; 25.000000 ; 11.000000 ; 2501191.500000 ; 1116112.800000 ; 365 
 Betula pendula ; 20.000000 ; 8.000000 ; 2501174.830000 ; 1116086.510000 ; 183 
 Acer pseudoplatanus var. pseudoplatanus ; 15.000000 ; 13.000000 ; 2500900.950000 ; 1117200.580000 ; 183 
 Acer pseudoplatanus var. pseudoplatanus ; 19.000000 ; 14.000000 ; 2500893.450000 ; 1117207.280000 ; 183 
 Prunus ; 9.000000 ; 4.000000 ; 2501094.320000 ; 1117466.950000 ; 183 
 Fraxinus excelsior var. excelsior ; 27.000000 ; 10.000000 ; 2501598.790000 ; 1117394.130000 ; 183 
 Buxus ; 16.021379 ; 10.397967 ; 2502492.370000 ; 1117399.570000 ; 183 
 Buxus ; 16.021379 ; 10.397967 ; 2502492.200000 ; 1117398.560000 ; 183 
 Buxus ; 16.021379 ; 10.397967 ; 2502492.440000 ; 1117397.490000 ; 183 
 Quercus ; 15.000000 ; 11.000000 ; 2502454.680000 ; 1117345.830000 ; 183 
 Tilia cordata ; 10.500000 ; 10.000000 ; 2501324.200000 ; 1117431.040000 ; 183 
 Acer pseudoplatanus var. pseudoplatanus ; 19.000000 ; 13.000000 ; 2502129.630000 ; 1117862.310000 ; 183 
 Betula pendula ; 20.000000 ; 12.000000 ; 2502097.100000 ; 1117827.900000 ; 183 
 Acer platanoides ; 18.000000 ; 10.000000 ; 2502068.820000 ; 1117796.450000 ; 183 
 Ginkgo biloba ; 13.000000 ; 5.000000 ; 2501461.380000 ; 1117762.650000 ; 365 
 Fraxinus excelsior var. excelsior ; 27.000000 ; 10.000000 ; 2501165.120000 ; 1116064.470000 ; 183 
 Populus nigra subsp. nigra 'Italica' ; 33.000000 ; 5.000000 ; 2501179.030000 ; 1116077.430000 ; 183 
 Acer campestre ; 8.000000 ; 4.000000 ; 2501546.790000 ; 1116173.600000 ; 183 
 Betula pendula ; 14.000000 ; 12.000000 ; 2500683.880000 ; 1117312.890000 ; 183 
 Larix decidua ; 23.000000 ; 6.000000 ; 2501535.410000 ; 1116061.680000 ; 365 
 Larix decidua ; 13.000000 ; 6.000000 ; 2501534.750000 ; 1116065.750000 ; 365 
 Larix decidua ; 20.000000 ; 6.000000 ; 2501533.190000 ; 1116067.640000 ; 365 
 Acer pseudoplatanus var. pseudoplatanus ; 10.000000 ; 6.000000 ; 2501530.340000 ; 1116101.940000 ; 183 
 Acer campestre ; 14.000000 ; 10.000000 ; 2502257.940000 ; 1117362.030000 ; 183 
 Quercus cerris var. cerris ; 7.500000 ; 4.000000 ; 2499929.730000 ; 1116338.740000 ; 183 
 Acer platanoides ; 10.000000 ; 6.000000 ; 2500376.390000 ; 1116821.200000 ; 183 
 Acer platanoides ; 4.000000 ; 7.000000 ; 2500389.730000 ; 1116805.330000 ; 183 
 Morus ; 5.000000 ; 8.000000 ; 2500767.570000 ; 1117320.980000 ; 183 
 Tilia ; 26.000000 ; 16.000000 ; 2502219.520000 ; 1117313.520000 ; 183 
 Acer pseudoplatanus var. pseudoplatanus ; 17.000000 ; 10.000000 ; 2501540.130000 ; 1117851.750000 ; 183 
 Sambucus nigra var. nigra ; 5.000000 ; 5.000000 ; 2501558.880000 ; 1117867.550000 ; 183 
 Aesculus hippocastanum ; 27.000000 ; 18.000000 ; 2501081.680000 ; 1117454.490000 ; 183 
 Cedrus atlantica ; 31.000000 ; 25.000000 ; 2501626.120000 ; 1117355.850000 ; 365 
 Parrotia persica ; 3.000000 ; 1.000000 ; 2502000.230000 ; 1117786.080000 ; 183 
 Carpinus betulus ; 17.000000 ; 10.000000 ; 2499436.070000 ; 1117257.940000 ; 183 
 Quercus pubescens ; 4.700000 ; 1.000000 ; 2499707.570000 ; 1119340.640000 ; 183 
 Cydonia oblonga ; 6.000000 ; 3.000000 ; 2500189.170000 ; 1120842.980000 ; 183 
 Carpinus betulus ; 13.000000 ; 7.000000 ; 2502093.510000 ; 1117442.950000 ; 183 
 Alnus cordata ; 5.000000 ; 2.000000 ; 2502008.360000 ; 1115561.820000 ; 183 
 Celtis occidentalis ; 9.000000 ; 8.000000 ; 2499490.650000 ; 1117308.910000 ; 183 
 Prunus avium 'Jaune de Buchillon' ; 4.000000 ; 1.000000 ; 2500217.010000 ; 1120825.940000 ; 183 
 Populus nigra subsp. nigra 'Italica' ; 27.000000 ; 4.000000 ; 2499460.780000 ; 1117272.420000 ; 183 
 Tilia ; 16.000000 ; 11.000000 ; 2499409.970000 ; 1117255.880000 ; 183 
 Acer campestre ; 1.000000 ; 1.000000 ; 2498623.680000 ; 1118064.400000 ; 183 
 Taxus baccata ; 8.000000 ; 5.000000 ; 2499394.120000 ; 1117262.560000 ; 365 
 Acer campestre ; 1.000000 ; 1.000000 ; 2498618.910000 ; 1118067.820000 ; 183 
 Pinus pinea ; 9.000000 ; 8.000000 ; 2502023.700000 ; 1117417.590000 ; 365 
 Pinus pinea ; 9.000000 ; 8.000000 ; 2502019.550000 ; 1117417.120000 ; 365 
 Cedrus atlantica 'Glauca' ; 25.000000 ; 20.000000 ; 2502100.030000 ; 1117497.070000 ; 365 
 Acer campestre ; 2.000000 ; 1.000000 ; 2499736.490000 ; 1119321.730000 ; 183 
 Ulmus glabra ; 15.000000 ; 10.000000 ; 2502096.930000 ; 1117453.180000 ; 183 
